-107.917298,45.308076,Bighorn Canyon National Recreation Area Afterbay Campground,"5th Ave,
Fort Smith,
MT,
59035,
(406) 666-3305","{name:""",Bighorn Canyon National Recreation Area Afterbay Campground,""", lat:",45.308076,",",lon:,-107.917298,"},","{name:""Bighorn Canyon National Recreation Area Afterbay Campground"", lat:45.308076,lon:-107.917298},"
-107.613987,45.7393,Grandview Campground,"1002 N Mitchell,
Hardin,
MT,
59034,
(406) 665-2489","{name:""",Grandview Campground,""", lat:",45.7393,",",lon:,-107.613987,"},","{name:""Grandview Campground"", lat:45.7393,lon:-107.613987},"
-111.08766,48.313173,Sanford Park Campground,"Rt 366,
Chester,
MT,
59522,
(406) 759-5077","{name:""",Sanford Park Campground,""", lat:",48.313173,",",lon:,-111.08766,"},","{name:""Sanford Park Campground"", lat:48.313173,lon:-111.08766},"
-111.109341,48.317895,VFW Campground,",
Chester,
MT,
59522,
(406) 759-5077","{name:""",VFW Campground,""", lat:",48.317895,",",lon:,-111.109341,"},","{name:""VFW Campground"", lat:48.317895,lon:-111.109341},"
-111.141537,48.334541,Island Area Campground,",
Chester,
MT,
59522,
(406) 759-5077","{name:""",Island Area Campground,""", lat:",48.334541,",",lon:,-111.141537,"},","{name:""Island Area Campground"", lat:48.334541,lon:-111.141537},"
-109.438357,45.522416,Dew Drop Inn,"3315 Montana 78,
Absarokee,
MT,
9001,
(406) 328-4121","{name:""",Dew Drop Inn,""", lat:",45.522416,",",lon:,-109.438357,"},","{name:""Dew Drop Inn"", lat:45.522416,lon:-109.438357},"
-115.066001,48.03328,Logan State Park Campground,"490 North Meridian,
Kalispell,
MT,
59901,
(406) 293-7190","{name:""",Logan State Park Campground,""", lat:",48.03328,",",lon:,-115.066001,"},","{name:""Logan State Park Campground"", lat:48.03328,lon:-115.066001},"
-112.888001,47.502089,South Fork Campground,",
Choteau,
MT,
59422,
(406) 466-5341","{name:""",South Fork Campground,""", lat:",47.502089,",",lon:,-112.888001,"},","{name:""South Fork Campground"", lat:47.502089,lon:-112.888001},"
-115.3996,47.38663,10000 Silver Dollar Casino Free electric hookup,"Exit 16 I-90,
Haugan West End,
MT,
59842,
(406) 678-4242","{name:""",10000 Silver Dollar Casino Free electric hookup,""", lat:",47.38663,",",lon:,-115.3996,"},","{name:""10000 Silver Dollar Casino Free electric hookup"", lat:47.38663,lon:-115.3996},"
-112.624234,46.009376,2 Bar Lazy H RV Campgrounds,"122015 West Browns Gulch Road,
Butte,
MT,
59701-9602,
(406) 782-5464","{name:""",2 Bar Lazy H RV Campgrounds,""", lat:",46.009376,",",lon:,-112.624234,"},","{name:""2 Bar Lazy H RV Campgrounds"", lat:46.009376,lon:-112.624234},"
